title,director,plot,box_office,imdbrating,released
Citizen Kane (1941),Orson Welles,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","$1,627,530",8.2,05 Sep 1941
2001: A Space Odyssey (1968),Stanley Kubrick,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.","$60,481,243",8.3,12 May 1968
Golden Earrings (1947),Mitchell Leisen,"On the eve of WW2, a British spy goes to Germany to obtain a secret poison-gas formula from a scientist but things go awry and he is saved by a beautiful nomadic gypsy woman.",N/A,6.6,27 Aug 1947
All About Eve (1950),Joseph L. Mankiewicz,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"$63,463",8.2,27 Oct 1950
"Women, The (1939)",,,,,
Rebecca (1940),Alfred Hitchcock,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,N/A,8.1,12 Apr 1940
Foreign Correspondent (1940),Alfred Hitchcock,"On the eve of World War II, a young American reporter tries to expose enemy agents in London.",N/A,7.4,16 Aug 1940
Notorious (1946),Alfred Hitchcock,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?,N/A,7.9,06 Sep 1946
Spellbound (1945),Alfred Hitchcock,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,N/A,7.5,28 Dec 1945
"Affair to Remember, An (1957)",,,,,
To Catch a Thief (1955),Alfred Hitchcock,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.,N/A,7.4,05 Aug 1955
Father of the Bride (1950),Vincente Minnelli,"The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding.","$8,838,592",7.1,16 Jun 1950
"Band Wagon, The (1953)",,,,,
Ninotchka (1939),Ernst Lubitsch,A stern Soviet woman sent to Paris to supervise the sale of jewels seized from Russian nobles finds herself attracted to a man who represents everything she is supposed to detest.,N/A,7.8,23 Nov 1939
Love in the Afternoon (1957),Billy Wilder,A middle-aged playboy becomes fascinated by the daughter of a private detective who has been hired to entrap him with the wife of a client.,N/A,7.1,30 Jun 1957
Gigi (1958),"Vincente Minnelli, Charles Walters","Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long.",N/A,6.6,25 Jun 1958
"Reluctant Debutante, The (1958)",,,,,
"Adventures of Robin Hood, The (1938)",,,,,
"Mark of Zorro, The (1940)",,,,,
Laura (1944),"Otto Preminger, Rouben Mamoulian",A police detective falls in love with the woman whose murder he is investigating.,N/A,7.9,01 Nov 1944
"Ghost and Mrs. Muir, The (1947)",,,,,
Lost Horizon (1937),Frank Capra,"When a revered diplomat's plane is diverted and crashes in the peaks of Tibet, he and the other survivors are guided to an isolated monastery at Shangri-La, where they wrestle with the invitation to stay.",N/A,7.6,01 Sep 1937
Top Hat (1935),Mark Sandrich,"An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",N/A,7.7,06 Sep 1935
To Be or Not to Be (1942),Ernst Lubitsch,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","$3,270,000",8.1,06 Mar 1942
My Man Godfrey (1936),Gregory La Cava,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,N/A,7.9,06 Sep 1936
Giant (1956),George Stevens,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,"$32,855,818",7.6,24 Nov 1956
East of Eden (1955),Elia Kazan,"Two brothers in 1910s California struggle to maintain the favor of their affectionate but strict, Bible-toting father as an old secret about their long-absent mother comes to light.",N/A,7.8,10 Apr 1955
"Thin Man, The (1934)",,,,,
His Girl Friday (1940),Howard Hawks,"When a newspaper editor's ace reporter ex-wife is about to quit her job and remarry, he buys himself time to win her back by promising her an exclusive interview with a death row convict.","$296,000",7.8,18 Jan 1940
Around the World in 80 Days (1956),"Michael Anderson, John Farrow",A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.,"$42,000,000",6.7,17 Oct 1956
It's a Wonderful Life (1946),Frank Capra,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,"$1,483,643",8.6,07 Jan 1947
Mr. Smith Goes to Washington (1939),Frank Capra,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...","$144,738",8.1,19 Oct 1939
Bringing Up Baby (1938),Howard Hawks,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",N/A,7.8,18 Feb 1938
Penny Serenade (1941),George Stevens,A couple's big dreams give way to a life full of unforeseen sadness and unexpected joy.,N/A,7.0,24 Apr 1941
"Scarlet Letter, The (1926)",,,,,
Lady of Burlesque (1943),William A. Wellman,"After one member of their group is murdered, the performers at a burlesque house must work together to find out who the killer is before he strikes again.",N/A,6.3,01 May 1943
Of Human Bondage (1934),John Cromwell,"A young man finds himself attracted to a cold, unfeeling waitress who might ultimately destroy them both.",N/A,7.0,20 Jul 1934
Angel on My Shoulder (1946),Archie Mayo,The Devil arranges for a deceased gangster to return to Earth as a well-respected judge to make up for his previous life.,N/A,6.8,20 Sep 1946
Little Lord Fauntleroy (1936),John Cromwell,An American boy turns out to be the long-lost heir of a British fortune. He is sent to live with the cold and unsentimental lord who oversees the trust.,N/A,7.3,06 Mar 1936
They Made Me a Criminal (1939),Busby Berkeley,"A champion boxer on the lamb, believed to have committed murder while drunk, takes refuge and finds redemption at an Arizona farm for delinquent youths.",N/A,6.8,28 Jan 1939
"Inspector General, The (1949)",,,,,
Angel and the Badman (1947),James Edward Grant,"Quirt Evans, an all round bad guy, is nursed back to health and sought after by Penelope Worth, a Quaker girl. He eventually finds himself having to choose between his world and the world Penelope lives in.","$4,070,000",6.8,15 Feb 1947
"39 Steps, The (1935)",,,,,
"Walk in the Sun, A (1945)",,,,,
"Outlaw, The (1943)",,,,,
Night of the Living Dead (1968),George A. Romero,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the Northeast of the United States.,"$236,452",7.8,04 Oct 1968
"African Queen, The (1951)",,,,,
Beat the Devil (1954),,,,,
Cat on a Hot Tin Roof (1958),Richard Brooks,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminally ill father jogs a host of memories and revelations for both father and son.,N/A,7.9,29 Aug 1958
"Last Time I Saw Paris, The (1954)",,,,,
Meet John Doe (1941),Frank Capra,"A penniless drifter is recruited by an ambitious columnist to impersonate a non-existent person who said he'd be committing suicide as a protest, and a social movement begins.",N/A,7.6,03 May 1941
Algiers (1938),John Cromwell,A wanted jewel thief ensconced in the Casbah meets a beautiful woman who makes him long for an escape.,N/A,6.6,05 Aug 1938
Something to Sing About (1937),Victor Schertzinger,"A New York bandleader journeys to Hollywood when he is offered a contract with a studio, but he is determined to do things his way and not theirs.",N/A,6.2,30 Sep 1937
"Farewell to Arms, A (1932)",,,,,
Moonlight Murder (1936),Edwin L. Marin,"An escaped lunatic, a mysterious swami, and various lovers all have designs on a famous opera singer.",N/A,5.9,27 Mar 1936
"Blue Angel, The (Blaue Engel, Der) (1930)",,,,,
Nothing Personal (1995),Thaddeus O'Sullivan,"A raw depiction of the Belfast, Northern Ireland ""troubles"" as savage tribal warfare. Set shortly after the 1975 cease fire, this movie focuses on the tribulations of Kenny (James Frain), Protestant leader of a group of Shankill R...","$40,374",6.8,25 Apr 1997
In the Line of Duty 2 (1987),,,,,
Dangerous Ground (1997),Darrell Roodt,"Vusi Madlazi returns to the South African village he left as a young boy (he was organizing against apartheid and left in fear of his life) to bury his father. He meets up with his brother Ernest, who tells him he couldn't contact...","$5,303,931",4.4,12 Feb 1997
Picnic (1955),Joshua Logan,Emotions are ignited among the complacent townsfolk when a handsome drifter arrives in a small Kansas community on the morning of the Labor Day picnic.,N/A,7.0,01 Dec 1955
Madagascar Skin (1995),Chris Newby,"This is the story of Harry and Flint, an unlikely couple. Harry is a shy young gay man who can't seem to fit into his local bar scene. Flint is a crusty, older, and seemingly straight man with a questionable background. They meet ...",N/A,6.1,26 Jan 1996
"Pompatus of Love, The (1996)",,,,,
Small Wonders (1996),,,,,
Fly Away Home (1996),Carroll Ballard,"Amy moves to Ontario to live with her father after the death of her mother. Her father, an aviation expert, helps Amy lead a flock of orphaned geese south for the winters.","$25,143,818",6.9,13 Sep 1996
Bliss (1997),Lance Young,A newly married happy couple visits a sex therapist to determine why the wife can't achieve an orgasm with her husband. This causes a horrific suppressed memory to emerge and she becomes more and more distant.,"$294,064",6.0,14 Apr 1997
Grace of My Heart (1996),Allison Anders,"Edna wins a recording contract singing her own song at a competition in 1958. After trying to make it as a singer/songwriter for 11 months in NYC, she has success writing songs for others at the Brill Building.","$660,313",6.7,13 Sep 1996
Schlafes Bruder (Brother of Sleep) (1995),,,,,
Maximum Risk (1996),Ringo Lam,"While seeking answers to the death of the twin brother he never knew he had, a French cop and his sibling's fiancee find themselves pursued by corrupt FBI agents and the Russian mafia.","$14,502,483",5.6,13 Sep 1996
Michael Collins (1996),Neil Jordan,"Neil Jordan's historical biopic of Irish revolutionary Michael Collins, the man who led a guerrilla war against the UK, helped negotiate the creation of the Irish Free State, and led the National Army during the Irish Civil War.","$11,092,559",7.1,25 Oct 1996
"Rich Man's Wife, The (1996)",,,,,
Infinity (1996),Matthew Broderick,Story of the early life of genius and Nobel Prize-winning physicist Richard Feynman.,"$195,170",6.1,04 Oct 1996
Big Night (1996),"Campbell Scott, Stanley Tucci","New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredi...","$12,008,376",7.3,20 Sep 1996
Last Man Standing (1996),Walter Hill,A drifting gunslinger-for-hire finds himself in the middle of an ongoing war between the Irish and Italian mafia in a Prohibition era ghost town.,"$18,115,927",6.4,20 Sep 1996
Caught (1996),Robert M. Young,"Joe and Betty run a fish market and have sunk into a comfortable/boring life. Enter the drifter Nick, who takes a job in the store. He awakes Joe's hope in the future and Betty's sexual passions. Until their son Danny returns home..","$315,752",6.5,24 Jan 1996
Set It Off (1996),F. Gary Gray,"Desperation drives four inner-city women to bank robbery in Los Angeles, then they start mistrusting each other.","$36,461,139",6.9,06 Nov 1996
2 Days in the Valley (1996),John Herzfeld,48 hours of intersecting lives and crimes in Los Angeles.,"$11,132,210",6.5,27 Sep 1996
Curdled (1996),Reb Braddock,"After getting interested in murder as a kid in Colombia, Gabriela now has a scrapbook on murders including clippings on ""The Blue Blood Killer"". While cleaning his latest murder scene in Miami, she comes across a clue missed by th...","$49,620",5.9,27 Sep 1996
"Associate, The (L'Associe)(1982)",,,,,
Ed's Next Move (1996),John Walsh,"Ed lives in Wisconsin, but he's just been dumped by his girlfriend. So he moves to New York City for a big change...but will he ever find love again? He loves his new job studying the genetics of different strains of rice. He has ...","$106,791",6.3,27 Sep 1996
